level,class,precision,recall,f1-score,support,model
y2,Others,1.0,0.7142857142857143,0.8333333333333334,7.0,rf
y2,Problem/Fault,0.8235294117647058,0.875,0.8484848484848485,16.0,rf
y2,Suggestion,0.85,0.8947368421052632,0.8717948717948718,19.0,rf
y2,accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,rf
y2,macro avg,0.8911764705882352,0.8280075187969925,0.8512043512043513,42.0,rf
y2,weighted avg,0.8649159663865547,0.8571428571428571,0.8565046065046066,42.0,rf
y3,AppGallery-Install/Upgrade,0.3333333333333333,0.5,0.4,2.0,rf
y3,AppGallery-Use,0.0,0.0,0.0,2.0,rf
y3,Coupon/Gifts/Points Issues,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0,rf
y3,General,1.0,0.5,0.6666666666666666,2.0,rf
y3,Invoice,1.0,0.75,0.8571428571428571,4.0,rf
y3,Other,0.5,0.3333333333333333,0.4,3.0,rf
y3,Payment,0.7272727272727273,1.0,0.8421052631578947,8.0,rf
y3,Payment issue,0.6666666666666666,1.0,0.8,2.0,rf
y3,Third Party APPs,0.5,0.3333333333333333,0.4,3.0,rf
y3,VIP / Offers / Promotions,0.5,0.5,0.5,2.0,rf
y3,accuracy,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,rf
y3,macro avg,0.5893939393939394,0.5488095238095237,0.5481299402352034,35.0,rf
y3,weighted avg,0.6424242424242425,0.6285714285714286,0.617326833567435,35.0,rf
y4,Can't download Apps,0.0,0.0,0.0,1.0,rf
y4,Can't install Apps,1.0,1.0,1.0,1.0,rf
y4,Can't use or acquire,0.8,0.6666666666666666,0.7272727272727273,6.0,rf
y4,Cooperated campaign issue,0.0,0.0,0.0,1.0,rf
y4,Invoice related request,1.0,0.75,0.8571428571428571,4.0,rf
y4,Offers / Vouchers / Promotions,0.5,0.5,0.5,2.0,rf
y4,Other download/install/update issue,0.0,0.0,0.0,0.0,rf
y4,Others,0.5,1.0,0.6666666666666666,1.0,rf
y4,Personal data,1.0,1.0,1.0,1.0,rf
y4,Refund,0.5,0.3333333333333333,0.4,3.0,rf
y4,Risk Control,1.0,1.0,1.0,2.0,rf
y4,Subscription cancellation,0.8,1.0,0.8888888888888888,8.0,rf
y4,UI Abnormal in Huawei AppGallery,0.0,0.0,0.0,2.0,rf
y4,accuracy,0.6875,0.6875,0.6875,0.6875,rf
y4,macro avg,0.5461538461538461,0.5576923076923076,0.5415362415362416,32.0,rf
y4,weighted avg,0.6937500000000001,0.6875,0.680312049062049,32.0,rf
y2,Others,0.75,0.8571428571428571,0.8,7.0,lr
y2,Problem/Fault,0.7222222222222222,0.8125,0.7647058823529411,16.0,lr
y2,Suggestion,0.8125,0.6842105263157895,0.7428571428571429,19.0,lr
y2,accuracy,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,lr
y2,macro avg,0.7615740740740741,0.7846177944862155,0.7691876750700279,42.0,lr
y2,weighted avg,0.767691798941799,0.7619047619047619,0.7607042817126851,42.0,lr
y3,AppGallery-Install/Upgrade,0.25,0.5,0.3333333333333333,2.0,lr
y3,AppGallery-Use,0.0,0.0,0.0,2.0,lr
y3,Coupon/Gifts/Points Issues,0.75,0.8571428571428571,0.8,7.0,lr
y3,General,0.5,0.5,0.5,2.0,lr
y3,Invoice,1.0,0.75,0.8571428571428571,4.0,lr
y3,Other,1.0,0.6666666666666666,0.8,3.0,lr
y3,Payment,0.6666666666666666,0.75,0.7058823529411765,8.0,lr
y3,Payment issue,0.5,1.0,0.6666666666666666,2.0,lr
y3,Third Party APPs,1.0,0.3333333333333333,0.5,3.0,lr
y3,VIP / Offers / Promotions,1.0,0.5,0.6666666666666666,2.0,lr
y3,accuracy,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6571428571428571,lr
y3,macro avg,0.6666666666666666,0.5857142857142856,0.58296918767507,35.0,lr
y3,weighted avg,0.7166666666666667,0.6571428571428571,0.6545418167266908,35.0,lr
y4,Can't download Apps,0.0,0.0,0.0,1.0,lr
y4,Can't install Apps,0.5,1.0,0.6666666666666666,1.0,lr
y4,Can't use or acquire,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0,lr
y4,Cooperated campaign issue,0.0,0.0,0.0,1.0,lr
y4,Invoice related request,1.0,0.75,0.8571428571428571,4.0,lr
y4,Offers / Vouchers / Promotions,1.0,0.5,0.6666666666666666,2.0,lr
y4,Other download/install/update issue,0.0,0.0,0.0,0.0,lr
y4,Others,0.0,0.0,0.0,1.0,lr
y4,Payment failed,0.0,0.0,0.0,0.0,lr
y4,Personal data,1.0,1.0,1.0,1.0,lr
y4,Refund,1.0,0.3333333333333333,0.5,3.0,lr
y4,Risk Control,1.0,1.0,1.0,2.0,lr
y4,Subscription cancellation,0.75,0.75,0.75,8.0,lr
y4,UI Abnormal in Huawei AppGallery,0.0,0.0,0.0,2.0,lr
y4,accuracy,0.625,0.625,0.625,0.625,lr
y4,macro avg,0.505952380952381,0.4404761904761905,0.44812925170068024,32.0,lr
y4,weighted avg,0.734375,0.625,0.6540178571428572,32.0,lr
